search_name,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,lifeStage,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,elevation,elevationAccuracy,continent,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,institutionKey,collectionKey,isInCluster,datasetName,recordedBy,identifiedBy,preparations,geodeticDatum,class,countryCode,country,identifier,catalogNumber,institutionID,higherGeography,institutionCode,georeferenceProtocol,locality,eventRemarks,collectionCode,gbifID,accessRights,occurrenceID,rightsHolder,county,language,type,rights,dateIdentified,coordinateUncertaintyInMeters,georeferencedBy,sex,ownerInstitutionCode,municipality,verbatimLocality,distanceFromCentroidInMeters,datasetID,eventID,associatedReferences,originalNameUsage,identificationVerificationStatus,nameAccordingTo,http://unknown.org/orders,taxonID,http://unknown.org/language,name
1,657602839,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:07.150+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:33:08.000+00:00,2023-05-02T16:31:07.150+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,17714e57-1ed6-11e3-bfac-90b11c41863e,556440,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657602839,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,17714e57-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
1,657638667,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:32.128+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:29:59.000+00:00,2023-05-02T16:31:32.128+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,194c4334-1ed6-11e3-bfac-90b11c41863e,556433,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657638667,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,194c4334-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
1,657660256,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:32.084+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:33:09.000+00:00,2023-05-02T16:31:32.084+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,1a6b9222-1ed6-11e3-bfac-90b11c41863e,556446,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657660256,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,1a6b9222-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
1,657670192,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:32.876+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:33:09.000+00:00,2023-05-02T16:31:32.876+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,1af4610e-1ed6-11e3-bfac-90b11c41863e,556441,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657670192,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,1af4610e-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
1,657671190,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:08.487+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:31:31.000+00:00,2023-05-02T16:31:08.487+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,1b03ed7a-1ed6-11e3-bfac-90b11c41863e,556437,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657671190,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,1b03ed7a-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
1,657676014,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:08.850+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:29:59.000+00:00,2023-05-02T16:31:08.850+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,1b3f4596-1ed6-11e3-bfac-90b11c41863e,556456,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657676014,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,1b3f4596-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
1,657693722,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:33.064+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:33:10.000+00:00,2023-05-02T16:31:33.064+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,1c3bbb70-1ed6-11e3-bfac-90b11c41863e,556458,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657693722,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,1c3bbb70-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
1,657702391,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:09.104+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:31:32.000+00:00,2023-05-02T16:31:09.104+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,1cb5850f-1ed6-11e3-bfac-90b11c41863e,556445,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657702391,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,1cb5850f-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
1,657705560,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:33.043+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:33:10.000+00:00,2023-05-02T16:31:33.043+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,1cdda691-1ed6-11e3-bfac-90b11c41863e,556455,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657705560,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,1cdda691-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
1,657705243,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,"cdround,gass84,colmafu",aae308f4-9f9c-4cdd-b4ef-c026f48be551,b554c320-0560-11d8-b851-b8a03c50a862,c7b49e46-602a-4172-98d2-6b027c6b049f,US,EML,2023-05-02T16:03:37.504+00:00,2023-05-02T16:31:09.820+00:00,337,b554c320-0560-11d8-b851-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,Adult,9637957,1,54,216,1457,4334,1345577,1345596,1345596,"Paratrigona impunctata (Ducke, 1916)",Animalia,Arthropoda,Hymenoptera,Apidae,Paratrigona,Paratrigona impunctata,Aparatrigona,impunctata,SPECIES,SYNONYM,NE,15,0,SOUTH_AMERICA,Region 10,2001,6,10,2001-06-10T00:00:00,2014-11-11T13:31:31.000+00:00,2023-05-02T16:31:09.820+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,49fb6451-91b7-4af2-8cd3-354539a77589,992b8c97-c6ae-4bda-b58b-1762cd1105d5,FALSE,Snow Entomological Museum Collection,"Brooks, R & Falin, Z","Gonzalez, Victor",Pinned - 1,WGS84,Insecta,GY,Guyana,1ce38215-1ed6-11e3-bfac-90b11c41863e,556434,http://grbio.org/cool/iakn-125z,"Guyana, Region 10",KU,GPS,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden",bee nest inside termite nest,SEMC,657705243,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,1ce38215-1ed6-11e3-bfac-90b11c41863e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aparatrigona impunctata (Ducke, 1916)"
