search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Aparatrigona impuctata,56acabf9-05e3-4649-8619-3ccdcaf803d8,95b3763a-f13b-4b28-acb3-45fe3ac012ba,inpa-hym 006001,apidae,paratrigona,aparatrigona impuctata,brasil,amazonas,NA,NA,NA,"filho, o.",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impuctata,63392d8e-65b2-4a60-a1d1-5f16f199d665,7165dc76-6075-4e31-83df-6c52bf372e89,inpa-hym 006003,apidae,paratrigona,aparatrigona impuctata,brasil,amazonas,NA,NA,NA,"cohen, i.",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impuctata,8a8ac427-9e0b-4d98-b8f7-ce2f9a4d55c4,81311155-bcd1-4c8a-9a7a-58ba4ebeb1b3,inpa-hym 006002,apidae,paratrigona,aparatrigona impuctata,brasil,amazonas,NA,NA,NA,"garcia, marcos",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
