database_id,searchName,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,year,country,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy
GBIF_21,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658185925,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_22,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658191397,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_23,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658207363,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_24,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658218042,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_25,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658248909,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_26,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658273845,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_27,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658290381,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_28,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658305739,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_29,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658313584,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
GBIF_30,1,"Aparatrigona impunctata (Ducke, 1916)",6.493333,-58.215,658351830,PRESERVED_SPECIMEN,2001-06-10T00:00:00Z,2001,Guyana,Region 10,"Georgetown, 40.5 km SW, Soesdyke, rd. to Linden","Gonzalez, Victor",NA,"Brooks, R & Falin, Z"
